Customer_ID,Signup_Date,Plan,Monthly_Charge,Tenure_Months,Payment_Method,Support_Calls,Login_Frequency,Churned,Churn_Reason
1,2023-07-26,Standard,19.99,13,PayPal,3,7,0,
2,2023-02-14,Standard,19.99,25,Credit Card,9,15,1,Poor service
3,2024-02-10,Standard,19.99,25,PayPal,2,14,0,
4,2024-03-11,Premium,39.99,22,Credit Card,8,21,0,
5,2023-08-29,Standard,19.99,26,Credit Card,4,17,1,Poor service
6,2023-07-05,Premium,39.99,6,Mobile Money,8,28,1,No longer needed
7,2024-05-15,Basic,9.99,23,PayPal,3,30,0,
8,2023-03-24,Premium,39.99,29,PayPal,8,21,1,Price too high
9,2023-01-12,Basic,9.99,31,Mobile Money,1,29,0,
10,2023-02-14,Basic,9.99,20,Credit Card,6,10,1,No longer needed
11,2023-04-13,Basic,9.99,14,Mobile Money,4,17,0,
12,2024-01-27,Basic,9.99,23,Mobile Money,0,4,0,
13,2024-01-03,Premium,39.99,10,Mobile Money,1,3,1,Found better alternative
14,2023-03-31,Basic,9.99,27,PayPal,3,28,0,
15,2024-01-30,Standard,19.99,15,Bank Transfer,1,27,0,
16,2023-04-06,Premium,39.99,5,Bank Transfer,0,18,0,
17,2023-06-22,Basic,9.99,25,Mobile Money,5,26,0,
18,2023-07-17,Standard,19.99,24,Credit Card,2,28,1,Found better alternative
19,2024-01-05,Standard,19.99,29,PayPal,4,27,0,
20,2023-12-01,Premium,39.99,20,Credit Card,5,6,0,
21,2023-12-31,Premium,39.99,16,Mobile Money,4,14,0,
22,2023-02-11,Standard,19.99,27,Bank Transfer,1,16,0,
23,2023-12-17,Standard,19.99,31,PayPal,4,13,0,
24,2023-07-29,Premium,39.99,11,Bank Transfer,6,21,0,
25,2024-03-17,Premium,39.99,29,PayPal,6,10,0,
26,2023-06-26,Basic,9.99,23,Bank Transfer,3,28,0,
27,2023-03-29,Premium,39.99,17,Mobile Money,3,13,0,
28,2023-06-26,Premium,39.99,26,Credit Card,1,16,0,
29,2023-01-01,Premium,39.99,20,PayPal,8,25,0,
30,2024-04-22,Basic,9.99,17,Mobile Money,7,17,0,
31,2023-11-14,Premium,39.99,19,PayPal,0,3,0,
32,2023-02-08,Premium,39.99,3,Credit Card,6,9,1,Found better alternative
33,2023-04-10,Basic,9.99,26,Mobile Money,2,8,0,
34,2023-03-07,Basic,9.99,29,Mobile Money,6,17,0,
35,2023-04-02,Standard,19.99,17,PayPal,4,14,0,
36,2024-03-31,Premium,39.99,25,PayPal,7,18,0,
37,2024-03-31,Standard,19.99,11,Credit Card,8,7,0,
38,2023-09-25,Basic,9.99,8,Bank Transfer,7,2,1,Price too high
39,2023-10-19,Premium,39.99,35,Bank Transfer,10,0,0,
40,2023-07-31,Standard,19.99,11,PayPal,9,29,1,Price too high
41,2023-01-25,Standard,19.99,33,PayPal,8,24,1,No longer needed
42,2023-01-30,Premium,39.99,27,PayPal,3,3,0,
43,2023-05-20,Standard,19.99,24,Credit Card,8,29,1,Poor service
44,2023-12-26,Standard,19.99,35,Credit Card,10,3,0,
45,2024-02-27,Basic,9.99,10,Credit Card,0,24,0,
46,2023-07-14,Basic,9.99,23,PayPal,9,19,0,
47,2023-11-09,Basic,9.99,22,Credit Card,5,25,0,
48,2023-04-07,Standard,19.99,12,Credit Card,2,15,0,
49,2023-09-24,Premium,39.99,1,PayPal,6,29,0,
50,2023-02-19,Basic,9.99,29,Credit Card,2,28,0,
51,2023-03-27,Standard,19.99,24,Bank Transfer,5,18,1,No longer needed
52,2023-01-11,Standard,19.99,11,PayPal,0,28,0,
53,2023-10-12,Standard,19.99,19,Credit Card,7,13,0,
54,2023-01-21,Standard,19.99,11,Bank Transfer,5,21,0,
55,2024-02-29,Basic,9.99,25,Bank Transfer,9,7,0,
56,2023-12-22,Premium,39.99,2,Bank Transfer,6,13,0,
57,2024-04-06,Basic,9.99,12,Mobile Money,0,6,1,Found better alternative
58,2023-03-25,Premium,39.99,7,Mobile Money,0,18,0,
59,2024-03-04,Basic,9.99,9,PayPal,10,9,1,Found better alternative
60,2023-04-04,Premium,39.99,28,PayPal,0,29,0,
61,2023-09-15,Standard,19.99,29,Credit Card,2,18,0,
62,2023-08-11,Basic,9.99,31,Credit Card,5,16,1,No longer needed
63,2023-04-17,Premium,39.99,7,Mobile Money,9,6,0,
64,2023-03-30,Basic,9.99,31,PayPal,2,26,0,
65,2023-03-27,Premium,39.99,34,Credit Card,3,7,0,
66,2023-12-18,Premium,39.99,27,Mobile Money,8,17,1,Found better alternative
67,2023-06-15,Premium,39.99,22,Mobile Money,3,3,0,
68,2023-01-16,Basic,9.99,28,Credit Card,5,6,0,
69,2023-12-06,Standard,19.99,12,Bank Transfer,10,8,1,Found better alternative
70,2023-04-11,Premium,39.99,24,Credit Card,2,11,0,
71,2023-12-23,Standard,19.99,34,Bank Transfer,3,14,1,Price too high
72,2023-07-01,Basic,9.99,10,Credit Card,6,0,1,Found better alternative
73,2024-03-31,Standard,19.99,16,PayPal,1,0,1,Poor service
74,2023-04-24,Standard,19.99,17,Credit Card,10,0,1,No longer needed
75,2023-02-11,Premium,39.99,24,Mobile Money,6,17,0,
76,2024-01-29,Premium,39.99,17,Bank Transfer,5,25,0,
77,2023-09-29,Basic,9.99,5,Credit Card,3,8,1,Price too high
78,2023-05-19,Standard,19.99,16,PayPal,7,21,0,
79,2023-01-09,Premium,39.99,17,Credit Card,6,3,0,
80,2023-05-25,Standard,19.99,29,Mobile Money,5,16,0,
81,2023-11-06,Premium,39.99,35,Credit Card,4,12,0,
82,2023-02-04,Premium,39.99,18,Mobile Money,7,10,0,
83,2023-02-13,Premium,39.99,2,Credit Card,9,2,0,
84,2024-03-17,Standard,19.99,13,Mobile Money,10,21,0,
85,2023-01-10,Basic,9.99,8,Bank Transfer,3,6,0,
86,2023-02-24,Basic,9.99,28,Bank Transfer,2,26,1,Found better alternative
87,2023-04-01,Premium,39.99,27,Credit Card,4,26,0,
88,2023-08-03,Standard,19.99,7,Credit Card,4,30,0,
89,2023-05-09,Premium,39.99,11,Bank Transfer,1,1,0,
90,2024-02-29,Basic,9.99,17,Mobile Money,6,4,0,
91,2023-11-03,Standard,19.99,14,Bank Transfer,7,8,0,
92,2023-11-21,Basic,9.99,30,Bank Transfer,2,6,0,
93,2023-03-07,Premium,39.99,15,Bank Transfer,9,16,1,No longer needed
94,2024-02-05,Basic,9.99,1,Bank Transfer,6,18,0,
95,2023-01-06,Standard,19.99,6,Mobile Money,7,3,1,Poor service
96,2024-03-21,Basic,9.99,16,Bank Transfer,3,3,1,Found better alternative
97,2023-12-29,Standard,19.99,12,PayPal,1,19,0,
98,2023-01-13,Basic,9.99,20,Mobile Money,5,16,1,Found better alternative
99,2023-09-03,Premium,39.99,23,PayPal,5,4,1,Found better alternative
100,2023-12-23,Premium,39.99,15,PayPal,10,16,0,
101,2024-01-03,Standard,19.99,11,Bank Transfer,8,5,0,
102,2024-03-08,Premium,39.99,20,Credit Card,0,19,0,
103,2023-03-20,Basic,9.99,28,Credit Card,1,17,0,
104,2023-12-11,Premium,39.99,19,Bank Transfer,2,17,0,
105,2024-05-04,Premium,39.99,7,Bank Transfer,0,21,0,
106,2023-08-05,Basic,9.99,11,Credit Card,2,20,1,No longer needed
107,2023-08-08,Premium,39.99,35,Mobile Money,5,18,0,
108,2024-04-17,Standard,19.99,17,Credit Card,3,24,0,
109,2023-02-02,Standard,19.99,7,Credit Card,5,12,0,
